STATE_NAME,HOUSE_OF_PARLIAMENT,TENURE,Sno,MP_NAME,HOUSE_NAME,CONSTITUENCY,ALLOCATED_AMT,TENURE_START_DATE,TENURE_END_DATE,Total_Amt,allocated_amount,state,constituency,mp_name,work_id,work_recommendation_dtl_id
Jharkhand,2,18th Lok Sabha,39.0,Annpurna Devi ,Lok Sabha,KODARMA,166665931.8,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,166729712.49,Jharkhand,KODARMA,Annpurna Devi ,,
Uttar Pradesh,2,18th Lok Sabha,40.0,ANOOP PRADHAN BALMIKI,Lok Sabha,HATHRAS (SC),147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Uttar Pradesh,HATHRAS (SC),ANOOP PRADHAN BALMIKI,,
Kerala,2,18th Lok Sabha,41.0,Anto Antony,Lok Sabha,PATHANAMTHITTA,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Kerala,PATHANAMTHITTA,Anto Antony,,
Maharashtra,2,18th Lok Sabha,42.0,ANUP SANJAY DHOTRE,Lok Sabha,AKOLA,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Maharashtra,AKOLA,ANUP SANJAY DHOTRE,,
Uttar Pradesh,2,18th Lok Sabha,43.0,Anurag Sharma ,Lok Sabha,JHANSI,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Uttar Pradesh,JHANSI,Anurag Sharma ,,
Himachal Pradesh,2,18th Lok Sabha,44.0,Anurag Singh Thakur,Lok Sabha,HAMIRPUR_HP,149570117.11,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,149627355.48,Himachal Pradesh,HAMIRPUR_HP,Anurag Singh Thakur,,
Andhra Pradesh,2,18th Lok Sabha,45.0,Appalanaidu Kalisetti,Lok Sabha,VIZIANAGARAM,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Andhra Pradesh,VIZIANAGARAM,Appalanaidu Kalisetti,,
Bihar,2,18th Lok Sabha,46.0,ARUN BHARTI,Lok Sabha,JAMUI(SC),194924621.11,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,194999216.0,Bihar,JAMUI(SC),ARUN BHARTI,,
Uttar Pradesh,2,18th Lok Sabha,47.0,ARUN GOVIL,Lok Sabha,MEERUT,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Uttar Pradesh,MEERUT,ARUN GOVIL,,
Tamil Nadu,2,18th Lok Sabha,48.0,ARUN NEHRU,Lok Sabha,PERAMBALUR,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Tamil Nadu,PERAMBALUR,ARUN NEHRU,,
Telangana,2,18th Lok Sabha,49.0,ARUNA. D. K,Lok Sabha,MAHABUBNAGAR,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Telangana,MAHABUBNAGAR,ARUNA. D. K,,
West Bengal,2,18th Lok Sabha,50.0,ARUP CHAKRABORTY,Lok Sabha,BANKURA,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,West Bengal,BANKURA,ARUP CHAKRABORTY,,
Telangana,2,18th Lok Sabha,51.0,Arvind Dharmapuri,Lok Sabha,NIZAMABAD,281396355.11,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,281504041.51,Telangana,NIZAMABAD,Arvind Dharmapuri,,
Maharashtra,2,18th Lok Sabha,52.0,Arvind Ganpat Sawant,Lok Sabha,MUMBAI SOUTH,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Maharashtra,MUMBAI SOUTH,Arvind Ganpat Sawant,,
Telangana,2,18th Lok Sabha,53.0,Asaduddin Owaisi,Lok Sabha,HYDERABAD,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Telangana,HYDERABAD,Asaduddin Owaisi,,
Madhya Pradesh,2,18th Lok Sabha,54.0,ASHISH DUBEY,Lok Sabha,JABALPUR,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Madhya Pradesh,JABALPUR,ASHISH DUBEY,,
Uttar Pradesh,2,18th Lok Sabha,55.0,Ashok Kumar Rawat,Lok Sabha,MISRIKH(SC),147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Uttar Pradesh,MISRIKH(SC),Ashok Kumar Rawat,,
Bihar,2,18th Lok Sabha,56.0,Ashok Kumar Yadav ,Lok Sabha,MADHUBANI,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Bihar,MADHUBANI,Ashok Kumar Yadav ,,
West Bengal,2,18th Lok Sabha,57.0,Asit Kumar Mal ,Lok Sabha,BOLPUR(SC),275694456.74,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,275799961.11,West Bengal,BOLPUR(SC),Asit Kumar Mal ,,
Uttar Pradesh,2,18th Lok Sabha,58.0,ATUL GARG,Lok Sabha,GHAZIABAD,155336470.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,155395915.07,Uttar Pradesh,GHAZIABAD,ATUL GARG,,
Odisha,2,18th Lok Sabha,59.0,AVIMANYU SETHI,Lok Sabha,BHADRAK(SC),147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Odisha,BHADRAK(SC),AVIMANYU SETHI,,
Uttar Pradesh,2,18th Lok Sabha,60.0,AWADHESH PRASAD,Lok Sabha,FAIZABAD,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Uttar Pradesh,FAIZABAD,AWADHESH PRASAD,,
West Bengal,2,18th Lok Sabha,61.0,AZAD KIRTI JHA,Lok Sabha,BARDHAMAN-DURGAPUR,179658399.98,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,179727152.71,West Bengal,BARDHAMAN-DURGAPUR,AZAD KIRTI JHA,,
Andhra Pradesh,2,18th Lok Sabha,62.0,B K PARTHASARATHI,Lok Sabha,HINDUPUR,160491894.11,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,160553312.09,Andhra Pradesh,HINDUPUR,B K PARTHASARATHI,,
Uttar Pradesh,2,18th Lok Sabha,63.0,BABU SINGH KUSHWAHA,Lok Sabha,JAUNPUR,147000000.0,"Jun 4, 2024 12:00:00 AM","Jun 3, 2029 11:59:59 PM",,147056254.82,Uttar Pradesh,JAUNPUR,BABU SINGH KUSHWAHA,,
