"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"107","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/183845","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"108","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/186925","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"109","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171626","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"110","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171624","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"111","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171625","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"112","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171728","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"113","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171724","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"114","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171727","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"115","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/187362","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"116","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/186926","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"117","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/186942","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"118","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/187363","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"119","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/187364","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"120","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/187365","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"121","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/187588","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"122","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/187595","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"123","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171619","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"124","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/171622","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"125","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184343","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"126","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184543","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"127","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184472","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"128","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184544","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"129","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/186921","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"130","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/186922","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"131","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/186924","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"132","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184334","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"133","Uttar Pradesh","Street lights","WS/MP18222/2025-2026/184338","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","BABU SINGH KUSHWAHA","JAUNPUR","22-Jul-2026","Ajay Kumar Singh","Payment In-Progress","19992"
"134","Uttarakhand","Construction of footpaths and pedestrian ways","WS/MP477/2026-2027/274288","ALMORA(DISTRICT MAGISTRATE ALMORA_IDA)","Ajay Tamta","ALMORA(SC)","03-Sep-2026","bisht trading company","Payment In-Progress","122244"
"135","Kerala","Purchase of vans and buses for educational institutions","WS/MP18095/2026-2027/246711","ALAPPUZHA(DISTRICT COLLECTOR ALAPPUZHA_IDA)","K. C VENUGOPAL","ALAPPUZHA","03-Sep-2026","TATA MOTORS","Payment In-Progress","1601555"
"136","Jharkhand","Construction of common work sheds/ common covered sitting area","WS/MP18072/2026-2027/292874","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","02-Sep-2026","BIRENDRA KUMAR MAHATO","Payment In-Progress","175000"
"137","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18072/2026-2027/283710","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","02-Sep-2026","BIRENDRA KUMAR MAHATO","Payment In-Progress","200000"
"138","Jharkhand","Construction of public staircase/ stair ghat for public convenience","WS/MP18072/2026-2027/292834","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","02-Sep-2026","BIRENDRA KUMAR MAHATO","Payment In-Progress","125000"
"139","Jharkhand","Construction of common work sheds/ common covered sitting area","WS/MP18072/2026-2027/292869","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","02-Sep-2026","BIRENDRA KUMAR MAHATO","Payment In-Progress","175000"
"140","Jharkhand","Construction of footpaths and pedestrian ways","WS/MP18072/2026-2027/292870","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","02-Sep-2026","BIRENDRA KUMAR MAHATO","Payment In-Progress","175000"
"141","Jharkhand","Construction of common work sheds/ common covered sitting area","WS/MP18072/2026-2027/292835","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","02-Sep-2026","BIRENDRA KUMAR MAHATO","Payment In-Progress","175000"
"142","Jharkhand","Construction of public staircase/ stair ghat for public convenience","WS/MP18072/2026-2027/292871","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","02-Sep-2026","BIRENDRA KUMAR MAHATO","Payment In-Progress","150000"
"143","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18072/2026-2027/292872","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","02-Sep-2026","BIRENDRA KUMAR MAHATO","Payment In-Progress","100000"
"144","Jharkhand","Providing drains and gutters for public drainage","WS/MP18072/2026-2027/292873","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","02-Sep-2026","BIRENDRA KUMAR MAHATO","Payment In-Progress","75000"
"145","Jharkhand","Construction of common work sheds/ common covered sitting area","WS/MP18072/2026-2027/273084","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","02-Sep-2026","BIRENDRA KUMAR MAHATO","Payment In-Progress","225000"
"146","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18072/2026-2027/291953","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","02-Sep-2026","BIRENDRA KUMAR MAHATO","Payment In-Progress","200000"
"147","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18072/2026-2027/291945","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","02-Sep-2026","BIRENDRA KUMAR MAHATO","Payment In-Progress","150000"
"148","Jharkhand","Construction of public staircase/ stair ghat for public convenience","WS/MP18072/2026-2027/292830","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","02-Sep-2026","BIRENDRA KUMAR MAHATO","Payment In-Progress","125000"
"149","Jharkhand","Providing supply pipelines for drinking water","WS/MP18072/2026-2027/296342","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","02-Sep-2026","BIRENDRA KUMAR MAHATO","Payment In-Progress","200000"
"150","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18072/2026-2027/292829","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","02-Sep-2026","BIRENDRA KUMAR MAHATO","Payment In-Progress","200000"
"151","Jharkhand","Construction of footpaths and pedestrian ways","WS/MP18072/2026-2027/291946","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","02-Sep-2026","BIRENDRA KUMAR MAHATO","Payment In-Progress","140000"
"152","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18072/2026-2027/292866","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","02-Sep-2026","BIRENDRA KUMAR MAHATO","Payment In-Progress","150000"
"153","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18072/2026-2027/292867","DHANBAD(DEPUTY COMMISSIONER DHANBAD_IDA)","DULU MAHATO","DHANBAD","02-Sep-2026","BIRENDRA KUMAR MAHATO","Payment In-Progress","150000"
"154","West Bengal","Construction of stadiums","WS/MP18272/2026-2027/222318","Paschim Medinipur(DISTRICT MAGISTRATE PASCHIM MEDINIPUR_IDA)","KALIPADA SAREN","JHARGRAM(ST)","17-Aug-2026","RAJAT SUBHRA MANDAL","Payment In-Progress","4881631"
"155","Jharkhand","Installing tube-wells and borewells","WS/MP18072/2026-2027/292200","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","DULU MAHATO","DHANBAD","02-Sep-2026","Mukesh Mahato","Payment In-Progress","243750"
"156","Jharkhand","Construction of footpaths and pedestrian ways","WS/MP18072/2026-2027/290323","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","DULU MAHATO","DHANBAD","02-Sep-2026","Mukesh Mahato","Payment In-Progress","219000"
"157","Jharkhand","Construction of public staircase/ stair ghat for public convenience","WS/MP18072/2026-2027/290326","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","DULU MAHATO","DHANBAD","02-Sep-2026","Mukesh Mahato","Payment In-Progress","243750"
"158","Jharkhand","Installing tube-wells and borewells","WS/MP18072/2026-2027/292199","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","DULU MAHATO","DHANBAD","02-Sep-2026","Mukesh Mahato","Payment In-Progress","243750"
"159","Jharkhand","Construction of public staircase/ stair ghat for public convenience","WS/MP18072/2026-2027/290324","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","DULU MAHATO","DHANBAD","03-Sep-2026","Mukesh Mahato","Payment In-Progress","243750"
"160","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18072/2026-2027/290325","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","DULU MAHATO","DHANBAD","03-Sep-2026","Mukesh Mahato","Payment In-Progress","262500"
"161","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18072/2026-2027/290320","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","DULU MAHATO","DHANBAD","03-Sep-2026","Mukesh Mahato","Payment In-Progress","262500"
"162","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18072/2026-2027/290321","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","DULU MAHATO","DHANBAD","03-Sep-2026","Mukesh Mahato","Payment In-Progress","225000"
"163","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18072/2026-2027/290322","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","DULU MAHATO","DHANBAD","03-Sep-2026","Mukesh Mahato","Payment In-Progress","225000"
"164","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18072/2026-2027/290317","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","DULU MAHATO","DHANBAD","03-Sep-2026","Mukesh Mahato","Payment In-Progress","225000"
"165","Jharkhand","Construction of public staircase/ stair ghat for public convenience","WS/MP18072/2026-2027/290318","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","DULU MAHATO","DHANBAD","03-Sep-2026","Mukesh Mahato","Payment In-Progress","225000"
"166","Jharkhand","Construction of footpaths and pedestrian ways","WS/MP18072/2026-2027/290319","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","DULU MAHATO","DHANBAD","03-Sep-2026","Mukesh Mahato","Payment In-Progress","219000"
"167","Jharkhand","Installing tube-wells and borewells","WS/MP18072/2026-2027/292202","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","DULU MAHATO","DHANBAD","03-Sep-2026","Mukesh Mahato","Payment In-Progress","243750"
"168","Jharkhand","Installing tube-wells and borewells","WS/MP18072/2026-2027/292203","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","DULU MAHATO","DHANBAD","03-Sep-2026","Mukesh Mahato","Payment In-Progress","243750"
"169","Jharkhand","Installing hand pumps","WS/MP18072/2026-2027/292201","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","DULU MAHATO","DHANBAD","03-Sep-2026","Mukesh Mahato","Payment In-Progress","93750"
"170","Jharkhand","Installing hand pumps","WS/MP18072/2026-2027/292197","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","DULU MAHATO","DHANBAD","03-Sep-2026","Mukesh Mahato","Payment In-Progress","93750"
"171","Jharkhand","Installing tube-wells and borewells","WS/MP18072/2026-2027/292198","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","DULU MAHATO","DHANBAD","03-Sep-2026","Mukesh Mahato","Payment In-Progress","243750"
"172","Jharkhand","Construction of community centers and community halls","WS/MP18072/2026-2027/292193","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","DULU MAHATO","DHANBAD","03-Sep-2026","Mukesh Mahato","Payment In-Progress","750000"
"173","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18072/2026-2027/292195","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","DULU MAHATO","DHANBAD","03-Sep-2026","Mukesh Mahato","Payment In-Progress","262500"
"174","Jharkhand","Installing tube-wells and borewells","WS/MP18072/2026-2027/296351","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","DULU MAHATO","DHANBAD","03-Sep-2026","Mukesh Mahato","Payment In-Progress","243750"
"175","Jharkhand","Installing tube-wells and borewells","WS/MP18072/2026-2027/296348","BOKARO(DEPUTY COMMISSIONER BOKARO_IDA)","DULU MAHATO","DHANBAD","03-Sep-2026","Mukesh Mahato","Payment In-Progress","243750"
"176","Madhya Pradesh","Construction of common work sheds/ common covered sitting area","WS/MP653/2025-2026/271170","DEWAS(DISTRICT COLLECTOR DEWAS_IDA)","Mahendra Singh Solanky","DEWAS(SC)","01-Sep-2026","CEO Janpad Panchayat Dewas","Payment In-Progress","600000"
"177","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP856/2025-2026/231387","LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA)","Rajnath Singh","LUCKNOW","08-Aug-2026","MRK CONSTRUCTIONS","Payment In-Progress","133800"
"178","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18324/2025-2026/151103","AMRELI(DISTRICT COLLECTOR AMRELI_IDA)","BHARATBHAI MANUBHAI SUTARIYA","AMRELI","02-Sep-2026","HADIDA GRAM PANCHAYAT","Payment In-Progress","300000"
"179","Punjab","Purchase of mobile water tankers","WS/MP18311/2026-2027/287163","S.A.S Nagar(DEPUTY COMMISSIONER SAHIBZADA AJIT SINGH NAGAR MOHALI_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","10-Aug-2026","DASHMESH ENGG WORKS","Payment In-Progress","350000"
"180","Punjab","Construction of additional rooms and halls in the existing public and community building","WS/MP18314/2025-2026/256967","BARNALA(DEPUTY COMMISSIONER BARNALA_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","26-Aug-2026","Dhanaula BKO","Payment In-Progress","6560"
"181","Punjab","Construction of additional rooms and halls in the existing public and community building","WS/MP18314/2025-2026/256967","BARNALA(DEPUTY COMMISSIONER BARNALA_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","26-Aug-2026","Sidhu Cement Store Fatehgarh Channa","Payment In-Progress","44630"
"182","Punjab","Construction of additional rooms and halls in the existing public and community building","WS/MP18314/2025-2026/256967","BARNALA(DEPUTY COMMISSIONER BARNALA_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","26-Aug-2026","Sidhu Cement Store Fatehgarh Channa","Payment In-Progress","17920"
"183","Tamil Nadu","Lighting of public spaces","WS/MP18179/2026-2027/245271","Mayiladuthurai(District Collector Mayiladuthurai_IDA)","SUDHA R","MAYILADUTHURAI","24-Aug-2026","SRI SAI ENTERPRISES","Payment In-Progress","900000"
"184","Karnataka","Development of public parks","WS/MP18078/2026-2027/254911","BALLARI(DEPUTY COMMISSIONER BELLARY_IDA)","E. TUKARAM","BELLARY(ST)","02-Sep-2026","Bellary Nirmithi Kendra Bellary","Payment In-Progress","750000"
"185","Tamil Nadu","Purchase of books and periodicals for libraries/digitization of library books","WS/MP746/2025-2026/212906","RAMANATHAPURAM(DISTRICT COLLECTOR RAMANATHAPURAM_IDA)","Kani K Navas","RAMANATHAPURAM","01-Apr-2026","Nava India Pathipagam","Payment In-Progress","500000"
"186","Tamil Nadu","Purchase of books and periodicals for libraries/digitization of library books","WS/MP758/2025-2026/256773","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","Smt S Jothimani","KARUR","02-Sep-2026","Nava India Pathipagam","Payment In-Progress","89550"
"187","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP417/2025-2026/222071","NALANDA(DISTRICT PLANNING OFFICER NALANDA_IDA)","Kaushalendra Kumar","NALANDA","27-Aug-2026","simpi","Payment In-Progress","395705"
"188","Tamil Nadu","Street lights","WS/MP18177/2025-2026/156784","TIRUPPUR(DISTRICT COLLECTOR TIRUPPUR_IDA)","K E PRAKASH","ERODE","16-Apr-2026","QUALITTY ENTERPRISES","Payment In-Progress","400000"
"189","Andhra Pradesh","Setting up public non-conventional energy plants","WS/MP522/2025-2026/260876","SRIKAKULAM(District Collector Srikakulam_IDA)","Kinjarapu Ram Mohan Naidu","SRIKAKULAM","31-Aug-2026","VIRAT MODY SOLAR SITY","Payment In-Progress","888865"
"190","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP18179/2025-2026/245341","THANJAVUR(DISTRICT COLLECTOR THANJAVUR_IDA)","SUDHA R","MAYILADUTHURAI","02-Sep-2026","AMN ENTERPRISES","Payment In-Progress","400000"
"191","Punjab","Construction of additional rooms and halls in the existing public and community building","WS/MP18314/2025-2026/256967","BARNALA(DEPUTY COMMISSIONER BARNALA_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","26-Aug-2026","BHAGWATI STEELS","Payment In-Progress","240226"
"192","Madhya Pradesh","Purchase of mobile water tankers","WS/MP18102/2026-2027/298727","DHAR(DISTRICT COLLECTOR DHAR_IDA)","SAVITRI THAKUR","DHAR(ST)","03-Sep-2026","M P  AGRO DHAR","Payment In-Progress","80000"
"193","Madhya Pradesh","Purchase of mobile water tankers","WS/MP18102/2026-2027/298731","DHAR(DISTRICT COLLECTOR DHAR_IDA)","SAVITRI THAKUR","DHAR(ST)","03-Sep-2026","M P  AGRO DHAR","Payment In-Progress","80000"
"194","Madhya Pradesh","Purchase of mobile water tankers","WS/MP18102/2026-2027/298732","DHAR(DISTRICT COLLECTOR DHAR_IDA)","SAVITRI THAKUR","DHAR(ST)","03-Sep-2026","M P  AGRO DHAR","Payment In-Progress","80000"
"195","Madhya Pradesh","Purchase of mobile water tankers","WS/MP18102/2026-2027/298733","DHAR(DISTRICT COLLECTOR DHAR_IDA)","SAVITRI THAKUR","DHAR(ST)","03-Sep-2026","M P  AGRO DHAR","Payment In-Progress","80000"
"196","Madhya Pradesh","Purchase of mobile water tankers","WS/MP18102/2026-2027/298734","DHAR(DISTRICT COLLECTOR DHAR_IDA)","SAVITRI THAKUR","DHAR(ST)","03-Sep-2026","M P  AGRO DHAR","Payment In-Progress","80000"
"197","Madhya Pradesh","Purchase of mobile water tankers","WS/MP18102/2026-2027/298735","DHAR(DISTRICT COLLECTOR DHAR_IDA)","SAVITRI THAKUR","DHAR(ST)","03-Sep-2026","M P  AGRO DHAR","Payment In-Progress","80000"
"198","Madhya Pradesh","Purchase of mobile water tankers","WS/MP18102/2026-2027/298736","DHAR(DISTRICT COLLECTOR DHAR_IDA)","SAVITRI THAKUR","DHAR(ST)","03-Sep-2026","M P  AGRO DHAR","Payment In-Progress","80000"
"199","Madhya Pradesh","Purchase of mobile water tankers","WS/MP18102/2026-2027/298737","DHAR(DISTRICT COLLECTOR DHAR_IDA)","SAVITRI THAKUR","DHAR(ST)","03-Sep-2026","M P  AGRO DHAR","Payment In-Progress","80000"
"200","Madhya Pradesh","Purchase of mobile water tankers","WS/MP18102/2026-2027/299489","DHAR(DISTRICT COLLECTOR DHAR_IDA)","SAVITRI THAKUR","DHAR(ST)","03-Sep-2026","M P  AGRO DHAR","Payment In-Progress","80000"
"201","Madhya Pradesh","Purchase of mobile water tankers","WS/MP18102/2026-2027/299491","DHAR(DISTRICT COLLECTOR DHAR_IDA)","SAVITRI THAKUR","DHAR(ST)","03-Sep-2026","M P  AGRO DHAR","Payment In-Progress","80000"
"202","Madhya Pradesh","Purchase of mobile water tankers","WS/MP18102/2026-2027/299492","DHAR(DISTRICT COLLECTOR DHAR_IDA)","SAVITRI THAKUR","DHAR(ST)","03-Sep-2026","M P  AGRO DHAR","Payment In-Progress","80000"
